"month","2017","2018","2019","2020","2021","2022","2023"
"1","11926","14350","18888","19820","16625","22682",15557
"2","14138","14110","18138","18905","14948","20687",10452
"3","13986","15887","19433","17258","18512","23694",3655
"4","13035","14243","18135","15034","19256","21442",
"5","14580","15136","19308","17218","18999","23824",
"6","13886","14930","19347","17698","19945","24581",
"7","14135","14698","19535","19120","20387","23962",
"8","14048","16066","19437","19481","19534","22158",
"9","13820","16321","18887","18401","20174","22104",
"10","14040","16201","19163","17720","19995","22630",
"11","14815","15777","19512","17308","19353","22350",
"12","15446","16724","19795","16948","19529",24709,
